!gaf-version: 2.0
!
!The set of protein accessions included in this file is based on UniProt complete proteomes, which may provide more than one protein per gene.
!They include all Swiss-Prot entries for the species plus any TrEMBL entries that have an Ensembl DR line. The TrEMBL entries are likely to overlap with the Swiss-Prot entries or their isoforms.
!If a particular protein accession is not annotated with GO, then it will not appear in this file.
!
!Note that the annotation set in this file is filtered in order to reduce redundancy; the full, unfiltered set can be found in
!ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/UNIPROT/gene_association.goa_uniprot.gz
!
!Generated: 2014-09-29 11:09
!
UniProtKB	A0A024R3B9	CRYAB		GO:0005212	GO_REF:0000002	IEA	InterPro:IPR012273	F	Crystallin, alpha B, isoform CRA_c	A0A024R3B9_HUMAN|CRYAB|hCG_1730741	protein	taxon:9606	20140927	InterPro		
UniProtKB	A0AVK6	E2F8		GO:0005515	PMID:18202719	IPI	UniProtKB:Q96AV8	F	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20140929	IntAct		
UniProtKB	A0AVK6	E2F8		GO:0005634	GO_REF:0000037	IEA	UniProtKB-KW:KW-0539	C	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0005667	GO_REF:0000002	IEA	InterPro:IPR003316	C	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20140927	InterPro		
UniProtKB	A0AVK6	E2F8		GO:0006351	GO_REF:0000037	IEA	UniProtKB-KW:KW-0804	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0032466	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0032877	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0033301	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0045944	PMID:22903062	IMP		P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0060707	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0060718	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVK6	E2F8		GO:0070365	GO_REF:0000024	ISS	UniProtKB:Q58FA4	P	Transcription factor E2F8	E2F8_HUMAN|E2F8	protein	taxon:9606	20121102	UniProt		
UniProtKB	A0AVL1	ADAM9		GO:0004222	GO_REF:0000002	IEA	InterPro:IPR001590|InterPro:IPR002870|InterPro:IPR006586	F	Disintegrin and metalloproteinase domain-containing protein 9	A0AVL1_HUMAN|ADAM9	protein	taxon:9606	20140927	InterPro		
UniProtKB	A0AVL1	ADAM9		GO:0006508	GO_REF:0000002	IEA	InterPro:IPR001590|InterPro:IPR002870|InterPro:IPR006586	P	Disintegrin and metalloproteinase domain-containing protein 9	A0AVL1_HUMAN|ADAM9	protein	taxon:9606	20140927	InterPro		
UniProtKB	A0AVL1	ADAM9		GO:0008270	GO_REF:0000002	IEA	InterPro:IPR002870	F	Disintegrin and metalloproteinase domain-containing protein 9	A0AVL1_HUMAN|ADAM9	protein	taxon:9606	20140927	InterPro		
UniProtKB	A0AVT1	UBA6		GO:0005515	PMID:17889673	IPI	UniProtKB:O15205	F	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20100325	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0005524	GO_REF:0000037	IEA	UniProtKB-KW:KW-0067	F	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0005737	GO_REF:0000054	IDA		C	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20100607	LIFEdb		
UniProtKB	A0AVT1	UBA6		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000102039	C	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20140605	RefGenome		
UniProtKB	A0AVT1	UBA6		GO:0006511	PMID:17889673	IMP		P	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20100326	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0016567	GO_REF:0000041	IEA	UniPathway:UPA00143	P	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0016567	PMID:17889673	IMP		P	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20100326	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0016874	GO_REF:0000037	IEA	UniProtKB-KW:KW-0436	F	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0AVT1	UBA6		GO:0019780	PMID:17889673	IMP		F	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN|UBA6|MOP4|UBE1L2	protein	taxon:9606	20100401	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0005509	PMID:24373768	IDA		F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140527	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0005515	PMID:23791178	IPI	UniProtKB:A0FGR9	F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140929	IntAct	occurs_in(GO:0032541)	
UniProtKB	A0FGR8	ESYT2		GO:0005515	PMID:23791178	IPI	UniProtKB:Q9BSJ8	F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140929	IntAct	occurs_in(GO:0032541)	
UniProtKB	A0FGR8	ESYT2		GO:0005544	PMID:17360437	IDA		F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20131121	FlyBase		
UniProtKB	A0FGR8	ESYT2		GO:0005887	PMID:17360437	IDA		C	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20131121	FlyBase		
UniProtKB	A0FGR8	ESYT2		GO:0006869	GO_REF:0000037	IEA	UniProtKB-KW:KW-0445	P	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0006897	GO_REF:0000037	IEA	UniProtKB-KW:KW-0254	P	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140927	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0008429	PMID:24847877	IDA		F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140527	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0016020	PMID:19946888	IDA		C	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140627	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0031210	PMID:24847877	IDA		F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140527	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0031227	PMID:23791178	IDA		C	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140528	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0031234	PMID:23791178	IMP		C	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140528	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0035091	PMID:24847877	IDA		F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140527	UniProt		
UniProtKB	A0FGR8	ESYT2		GO:0042802	PMID:23791178	IPI	UniProtKB:A0FGR8	F	Extended synaptotagmin-2	ESYT2_HUMAN|ESYT2|FAM62B|KIAA1228	protein	taxon:9606	20140929	IntAct		
